table_name,constraint_type,constraint_name,column_name,foreign_table,foreign_column
companies,CHECK,25302_25330_1_not_null,null,null,null
companies,CHECK,25302_25330_2_not_null,null,null,null
companies,CHECK,25302_25330_3_not_null,null,null,null
companies,CHECK,25302_25330_4_not_null,null,null,null
companies,PRIMARY KEY,companies_pkey,id,companies,id
contacts,CHECK,25302_25405_1_not_null,null,null,null
contacts,CHECK,25302_25405_2_not_null,null,null,null
contacts,CHECK,25302_25405_3_not_null,null,null,null
contacts,CHECK,25302_25405_8_not_null,null,null,null
contacts,CHECK,25302_25405_9_not_null,null,null,null
contacts,FOREIGN KEY,contacts_company_id_fkey,company_id,companies,id
contacts,FOREIGN KEY,contacts_created_by_fkey,created_by,null,null
contacts,PRIMARY KEY,contacts_pkey,id,contacts,id
customers,CHECK,25302_25383_10_not_null,null,null,null
customers,CHECK,25302_25383_1_not_null,null,null,null
customers,CHECK,25302_25383_2_not_null,null,null,null
customers,CHECK,25302_25383_3_not_null,null,null,null
customers,CHECK,25302_25383_9_not_null,null,null,null
customers,FOREIGN KEY,customers_company_id_fkey,company_id,companies,id
customers,FOREIGN KEY,customers_created_by_fkey,created_by,null,null
customers,PRIMARY KEY,customers_pkey,id,customers,id
notes,CHECK,25302_25625_1_not_null,null,null,null
notes,CHECK,25302_25625_2_not_null,null,null,null
notes,CHECK,25302_25625_3_not_null,null,null,null
notes,CHECK,25302_25625_4_not_null,null,null,null
notes,CHECK,25302_25625_5_not_null,null,null,null
notes,CHECK,25302_25625_7_not_null,null,null,null
notes,CHECK,25302_25625_8_not_null,null,null,null
notes,FOREIGN KEY,notes_company_id_fkey,company_id,companies,id
notes,FOREIGN KEY,notes_created_by_fkey,created_by,null,null
notes,PRIMARY KEY,notes_pkey,id,notes,id
order_items,CHECK,25302_25555_1_not_null,null,null,null
order_items,CHECK,25302_25555_2_not_null,null,null,null
order_items,CHECK,25302_25555_5_not_null,null,null,null
order_items,CHECK,25302_25555_6_not_null,null,null,null
order_items,CHECK,25302_25555_7_not_null,null,null,null
order_items,FOREIGN KEY,order_items_order_id_fkey,order_id,orders,id
order_items,PRIMARY KEY,order_items_pkey,id,order_items,id
order_items,FOREIGN KEY,order_items_product_id_fkey,product_id,products,id
orders,CHECK,25302_25525_1_not_null,null,null,null
orders,CHECK,25302_25525_2_not_null,null,null,null
orders,CHECK,25302_25525_4_not_null,null,null,null
orders,CHECK,25302_25525_5_not_null,null,null,null
orders,CHECK,25302_25525_6_not_null,null,null,null
orders,CHECK,25302_25525_8_not_null,null,null,null
orders,CHECK,25302_25525_9_not_null,null,null,null
orders,FOREIGN KEY,orders_company_id_fkey,company_id,companies,id
orders,FOREIGN KEY,orders_created_by_fkey,created_by,null,null
orders,FOREIGN KEY,orders_customer_id_fkey,customer_id,customers,id
orders,PRIMARY KEY,orders_pkey,id,orders,id
products,CHECK,25302_25427_10_not_null,null,null,null
products,CHECK,25302_25427_11_not_null,null,null,null
products,CHECK,25302_25427_1_not_null,null,null,null
products,CHECK,25302_25427_2_not_null,null,null,null
products,CHECK,25302_25427_3_not_null,null,null,null
products,CHECK,25302_25427_6_not_null,null,null,null
products,CHECK,25302_25427_7_not_null,null,null,null
products,FOREIGN KEY,products_company_id_fkey,company_id,companies,id
